City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
137,Aden,YE,76.35,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
140,Omboue,GA,77.45,broken clouds,-1.5746,9.2618,Hotel Olako
144,Oistins,BB,77.09,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
145,Buchanan,LR,77.99,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
146,Catamarca,AR,77.05,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
148,Oranjestad,AW,80.55,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
160,Edd,ER,78.73,clear sky,13.9297,41.6925,
161,Port-Gentil,GA,80.78,scattered clouds,-0.7193,8.7815,Fengshui Residence
163,Chanthaburi,TH,80.13,scattered clouds,12.8333,102.1667,Home Valley Station Garden River.
172,Kroya,ID,83.95,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
173,Tecoanapa,MX,78.03,clear sky,16.5167,-98.75,Hotel Manglares
174,Kavaratti,IN,79.21,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
183,Bambanglipuro,ID,84.22,broken clouds,-7.95,110.2833,Puri Brata
184,Fare,PF,81.66,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
189,San Policarpo,PH,82.49,clear sky,12.1791,125.5072,Agapita M. Nicart
192,Itarema,BR,78.62,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
193,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
194,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
195,Mareeba,AU,89.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
197,Faanui,PF,81.64,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
199,Waingapu,ID,85.37,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
200,Castlemaine,AU,83.05,clear sky,-37.0667,144.2167,Fig Cafe & Accommodation
212,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
213,Ocos,GT,78.01,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
216,Kavieng,PG,83.73,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
220,Koani,TZ,77.13,overcast clouds,-6.1333,39.2833,Northcliff BnB
222,Vao,NC,77.95,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
226,Trat,TH,88.0,few clouds,12.5,102.5,สวนหนิง-อัศ
232,Manado,ID,84.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
252,Le Port,RE,78.8,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
253,Sabang,ID,81.93,overcast clouds,5.8933,95.3214,Hotel Citra
258,Kawalu,ID,85.5,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
263,Hithadhoo,MV,81.72,overcast clouds,-0.6,73.0833,Scoop Guest House
264,Samarai,PG,81.5,moderate rain,-10.6167,150.6667,Nuli Sapi
272,Bundaberg,AU,84.49,scattered clouds,-24.85,152.35,Takalvan Motel
284,Dingle,PH,83.32,few clouds,10.9995,122.6711,SEGAYA PROPERTY
289,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
290,Harper,LR,78.8,overcast clouds,4.375,-7.7169,Screensaver
295,Honiara,SB,84.7,scattered clouds,-9.4333,159.95,Heritage Park Hotel
298,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
301,Mogadishu,SO,77.2,clear sky,2.0371,45.3438,Hotel Juba
302,Salinopolis,BR,77.38,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
306,Ternate,ID,83.43,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
322,Wonthaggi,AU,78.37,broken clouds,-38.6044,145.5913,Wonthaggi Caravans & Trailers
326,Pakxan,LA,78.44,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
327,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
332,Meulaboh,ID,79.39,overcast clouds,4.1363,96.1285,Kost Pria
333,Puerto Colombia,CO,78.89,scattered clouds,10.9878,-74.9547,Hotel El Emigrante
345,Teahupoo,PF,78.76,light rain,-17.8333,-149.2667,Vanira Lodge
347,Bonthe,SL,78.66,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
357,Namatanai,PG,84.83,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
359,Da Nang,VN,75.25,broken clouds,16.0678,108.2208,Sun River Hotel
376,Rock Sound,BS,76.41,light rain,24.9,-76.2,Pink Corral Bay Property
385,Natal,BR,77.22,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
388,Aquiraz,BR,82.22,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
393,Kahului,US,79.86,few clouds,20.8947,-156.47,Maui Seaside Hotel
394,Tabou,CI,78.84,broken clouds,4.423,-7.3528,hotêl doufoulougou
402,Cururupu,BR,75.18,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
407,Lucea,JM,76.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
410,Ibimirim,BR,76.8,overcast clouds,-8.5406,-37.6903,Hotel Paulistão
421,Bowen,AU,85.66,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
