City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
120,Caravelas,BR,-17.7125,-39.2481,77.14,91,100,9.13,overcast clouds
121,Ballina,AU,-28.8667,153.5667,82.58,83,81,11.1,broken clouds
122,Ponta Do Sol,PT,32.6667,-17.1,63.23,69,33,10.2,scattered clouds
123,Saint-Philippe,RE,-21.3585,55.7679,76.21,79,7,6.67,clear sky
124,Muroto,JP,33.2833,134.15,53.49,59,99,8.7,overcast clouds
125,Lompoc,US,34.6391,-120.4579,57.13,78,0,4.61,clear sky
126,Vestmanna,FO,62.1564,-7.1664,34.72,87,40,1.14,scattered clouds
127,Oriximina,BR,-1.7656,-55.8661,74.55,89,100,1.59,overcast clouds
128,Nola,IT,40.922,14.5329,46.92,76,13,1.99,few clouds
129,Preobrazheniye,RU,42.9019,133.9064,19.26,36,4,4.65,clear sky
130,Puerto Ayora,EC,-0.7393,-90.3518,72.03,87,77,5.21,broken clouds
131,Maniitsoq,GL,65.4167,-52.9,5.36,82,78,10.63,broken clouds
132,Tambacounda,SN,13.7539,-13.7586,73.76,16,81,7.09,broken clouds
133,San Patricio,US,28.017,-97.5169,66.29,87,71,1.39,broken clouds
134,Fez,MA,34.0372,-4.9998,39.45,65,0,10.36,clear sky
135,Husavik,IS,66.0449,-17.3389,35.51,84,43,5.21,scattered clouds
136,Constitucion,CL,-35.3333,-72.4167,61.0,89,95,9.48,overcast clouds
137,Aden,YE,12.7794,45.0367,76.35,70,99,18.28,overcast clouds
138,Hernani,ES,43.2662,-1.9762,54.01,87,75,4.0,broken clouds
139,Khatanga,RU,71.9667,102.5,-1.66,86,98,10.71,overcast clouds
140,Omboue,GA,-1.5746,9.2618,77.45,91,69,3.15,broken clouds
141,Fortuna,US,40.5982,-124.1573,43.41,93,0,0.0,clear sky
142,Osoyoos,CA,49.0331,-119.4524,27.36,68,95,5.75,overcast clouds
143,Ribeira Grande,PT,38.5167,-28.7,59.85,69,91,18.7,overcast clouds
144,Oistins,BB,13.0667,-59.5333,77.09,73,75,21.85,broken clouds
145,Buchanan,LR,5.8808,-10.0467,77.99,86,13,3.18,light rain
146,Catamarca,AR,-28.4696,-65.7852,77.05,44,0,12.75,clear sky
147,Ubinskoye,RU,55.3068,79.6802,29.08,88,100,17.11,overcast clouds
148,Oranjestad,AW,12.524,-70.027,80.55,80,40,4.0,scattered clouds
149,Sorland,NO,67.667,12.6934,32.94,71,10,17.2,clear sky
150,Tingi,TZ,-11.3,35.0333,64.65,92,100,2.21,light rain
151,Waiouru,NZ,-39.4833,175.6667,72.12,44,95,9.91,overcast clouds
152,Colares,PT,38.7992,-9.4469,54.82,73,8,3.0,clear sky
153,Abomsa,ET,9.9833,39.9833,64.92,76,8,0.83,clear sky
154,Nanortalik,GL,60.1432,-45.2371,14.65,74,100,15.77,overcast clouds
155,Norman Wells,CA,65.282,-126.8329,-12.96,70,40,9.22,scattered clouds
156,Clyde River,CA,70.4692,-68.5914,-10.97,77,100,17.27,light snow
157,Puerto Penasco,MX,31.3167,-113.5333,59.92,89,100,3.47,overcast clouds
158,Port Hedland,AU,-20.3167,118.5667,95.05,52,13,16.11,few clouds
159,Chokurdakh,RU,70.6333,147.9167,-11.38,96,100,9.22,overcast clouds
160,Edd,ER,13.9297,41.6925,78.73,65,0,13.44,clear sky
161,Port-Gentil,GA,-0.7193,8.7815,80.78,82,32,9.24,scattered clouds
162,Torbay,CA,47.6666,-52.7314,24.58,78,75,11.99,broken clouds
163,Chanthaburi,TH,12.8333,102.1667,80.13,39,38,4.76,scattered clouds
164,Hamilton,US,39.1834,-84.5333,39.42,85,100,1.01,light rain
165,Huarmey,PE,-10.0681,-78.1522,70.66,86,19,7.72,few clouds
166,Charters Towers,AU,-20.1,146.2667,97.5,31,4,9.75,clear sky
167,Odweyne,SO,9.4092,45.064,62.51,65,3,2.13,clear sky
168,Winslow,US,35.0242,-110.6974,46.96,45,75,9.22,broken clouds
169,Hiranagar,IN,32.45,75.2667,51.91,77,72,4.59,broken clouds
170,Ranchi,IN,23.35,85.3333,60.91,82,20,2.3,haze
171,Menongue,AO,-14.6585,17.691,63.28,96,100,5.46,light rain
172,Kroya,ID,-7.6331,109.2461,83.95,72,33,4.63,scattered clouds
173,Tecoanapa,MX,16.5167,-98.75,78.03,73,4,3.0,clear sky
174,Kavaratti,IN,10.5669,72.642,79.21,70,3,8.16,clear sky
175,Beringovskiy,RU,63.05,179.3167,-7.35,97,71,9.53,broken clouds
176,Saldanha,ZA,-33.0117,17.9442,64.45,96,0,8.28,clear sky
177,Mogzon,RU,51.7435,111.9606,-6.74,90,82,1.7,broken clouds
178,Chapais,CA,49.7834,-74.8492,6.58,85,100,14.92,overcast clouds
179,Teguldet,RU,57.3064,88.1667,31.01,96,100,12.57,snow
180,Richards Bay,ZA,-28.783,32.0377,70.83,86,57,5.73,broken clouds
181,Lata,PT,40.1629,-8.3327,53.82,90,65,1.95,broken clouds
182,Codrington,AU,-38.2667,141.9667,65.77,60,1,12.1,clear sky
183,Bambanglipuro,ID,-7.95,110.2833,84.22,71,53,7.25,broken clouds
184,Fare,PF,-16.7,-151.0167,81.66,74,7,5.99,clear sky
185,Khilok,RU,51.3674,110.4676,-0.62,89,64,2.93,broken clouds
186,Saint-Augustin,CA,51.226,-58.6502,-2.96,78,1,11.65,clear sky
187,San Quintin,MX,30.4833,-115.95,57.25,74,100,4.9,overcast clouds
188,Nyrob,RU,60.733,56.7202,-6.45,100,100,4.56,overcast clouds
189,San Policarpo,PH,12.1791,125.5072,82.49,69,2,5.75,clear sky
190,Marzuq,YE,14.4,46.4667,57.0,43,1,2.39,clear sky
191,Saskylakh,RU,71.9167,114.0833,-10.82,76,100,18.61,overcast clouds
192,Itarema,BR,-2.9248,-39.9167,78.62,79,17,10.36,few clouds
193,Isangel,VU,-19.55,169.2667,86.11,84,75,9.22,broken clouds
194,Georgetown,MY,5.4112,100.3354,85.93,67,20,1.99,few clouds
195,Mareeba,AU,-17.0,145.4333,89.44,63,63,6.31,broken clouds
196,Klaksvik,FO,62.2266,-6.589,36.52,86,84,11.5,broken clouds
197,Faanui,PF,-16.4833,-151.75,81.64,75,21,5.93,few clouds
198,Belfast,GB,54.5833,-5.9333,36.37,87,40,10.36,scattered clouds
199,Waingapu,ID,-9.6567,120.2641,85.37,66,26,7.61,scattered clouds
200,Castlemaine,AU,-37.0667,144.2167,83.05,33,0,8.43,clear sky
201,Abha,SA,18.2164,42.5053,51.62,93,0,0.0,clear sky
202,Klyuchi,RU,52.2667,79.1667,26.44,94,100,13.29,light snow
203,Thompson,CA,55.7435,-97.8558,-12.84,77,75,11.5,broken clouds
204,Nizhneudinsk,RU,54.9076,99.0276,-1.03,94,55,4.36,broken clouds
205,Coahuayana,MX,18.7333,-103.6833,68.95,87,45,3.83,scattered clouds
206,Sisimiut,GL,66.9395,-53.6735,5.76,85,66,10.94,broken clouds
207,Upata,VE,8.0086,-62.3989,71.19,93,54,3.71,broken clouds
208,Saint George,US,37.1041,-113.5841,52.39,41,0,1.01,clear sky
209,Atocha,BO,-20.9333,-66.2333,47.82,87,100,5.3,overcast clouds
210,San Cristobal,VE,7.7669,-72.225,69.98,90,96,2.89,overcast clouds
211,Rocha,UY,-34.4833,-54.3333,62.64,85,0,8.19,clear sky
212,Saint-Pierre,RE,-21.3393,55.4781,78.48,75,0,3.44,clear sky
213,Ocos,GT,14.5094,-92.1933,78.01,72,100,4.52,overcast clouds
214,Maxixe,MZ,-23.8597,35.3472,73.2,84,58,9.71,light rain
215,Coquimbo,CL,-29.9533,-71.3436,60.53,88,0,4.61,clear sky
216,Kavieng,PG,-2.5744,150.7967,83.73,65,94,6.6,overcast clouds
217,Mehamn,NO,71.0357,27.8492,24.13,81,100,20.56,light snow
218,Okhotsk,RU,59.3833,143.3,1.56,81,98,18.48,overcast clouds
219,Birjand,IR,32.8663,59.2211,27.07,74,0,6.91,clear sky
220,Koani,TZ,-6.1333,39.2833,77.13,86,96,8.79,overcast clouds
221,Kemijarvi,FI,66.7131,27.4306,1.18,99,98,4.38,overcast clouds
222,Vao,NC,-22.6667,167.4833,77.95,86,3,24.63,clear sky
223,Barcelos,PT,41.5388,-8.6151,53.74,96,100,6.13,overcast clouds
224,Melnikovo,RU,56.5558,84.085,32.25,95,100,13.91,light snow
225,Lima,PE,-12.0432,-77.0282,74.89,76,75,14.97,broken clouds
226,Trat,TH,12.5,102.5,88.0,40,12,9.1,few clouds
227,Sinegorye,RU,62.0788,150.477,0.75,98,100,1.95,overcast clouds
228,Anadyr,RU,64.75,177.4833,0.1,71,0,2.24,clear sky
229,Tiksi,RU,71.6872,128.8694,-12.8,96,100,6.31,overcast clouds
230,Sitka,US,57.0531,-135.33,30.09,69,100,4.61,overcast clouds
231,Alice Springs,AU,-23.7,133.8833,98.15,12,0,10.36,clear sky
232,Manado,ID,1.487,124.8455,84.97,74,40,6.91,scattered clouds
233,Marawi,PH,7.9986,124.2928,73.65,65,28,4.18,scattered clouds
234,Roebourne,AU,-20.7833,117.1333,94.35,37,0,9.17,clear sky
235,Mayfield,US,36.7417,-88.6367,47.14,94,99,16.82,light rain
236,Arlit,NE,18.7369,7.3853,57.29,25,1,8.16,clear sky
237,Danbury,US,41.3948,-73.454,26.83,66,0,0.0,clear sky
238,Berlevag,NO,70.8578,29.0864,25.2,75,100,25.34,light snow
239,Sladkovo,RU,55.5284,70.3385,19.83,94,100,10.69,overcast clouds
240,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.92,96,100,9.19,overcast clouds
241,Emilio Carranza,MX,19.9711,-96.6114,72.99,88,2,10.47,clear sky
242,Campbell River,CA,50.0163,-125.2446,38.73,98,100,5.75,light intensity drizzle
243,Lagoa,PT,39.05,-27.9833,59.0,69,98,16.26,overcast clouds
244,Tyn Nad Vltavou,CZ,49.2234,14.4206,31.32,74,100,7.0,overcast clouds
245,Sosva,RU,59.1766,61.8558,0.84,86,18,9.19,few clouds
246,Koygorodok,RU,60.445,50.9968,-1.93,96,99,5.39,overcast clouds
247,Lebu,CL,-37.6167,-73.65,58.51,93,91,2.53,overcast clouds
248,Redmond,US,47.674,-122.1215,44.87,83,100,1.99,overcast clouds
249,Anse-Bertrand,GP,16.4721,-61.5078,73.22,70,3,19.93,clear sky
250,Altay,CN,47.8667,88.1167,14.13,62,17,6.33,few clouds
251,Nikolskoye,RU,59.7035,30.7861,19.8,94,100,7.05,snow
252,Le Port,RE,-20.9373,55.2919,78.8,80,0,4.27,clear sky
253,Sabang,ID,5.8933,95.3214,81.93,76,100,18.81,overcast clouds
254,Seoni,IN,22.0833,79.5333,62.8,78,81,5.53,broken clouds
255,Beloha,MG,-25.1667,45.05,73.81,83,100,10.25,overcast clouds
256,Solnechnyy,RU,50.7214,136.6319,-0.24,87,100,1.63,overcast clouds
257,Nyurba,RU,63.2842,118.3319,-33.88,98,22,5.32,few clouds
258,Kawalu,ID,-7.3817,108.2082,85.5,63,52,2.51,broken clouds
259,Roma,US,43.2128,-75.4557,27.84,62,0,9.22,clear sky
260,Nizhniy Tsasuchey,RU,50.5167,115.1333,2.35,86,90,12.03,overcast clouds
261,Ucluelet,CA,48.9329,-125.5528,45.09,93,100,5.84,overcast clouds
262,Tucuma,BR,-0.1833,-50.05,74.61,95,100,4.76,heavy intensity rain
263,Hithadhoo,MV,-0.6,73.0833,81.72,73,88,5.61,overcast clouds
264,Samarai,PG,-10.6167,150.6667,81.5,78,98,7.52,moderate rain
265,Tonaya,MX,19.7833,-103.9667,67.08,51,85,0.98,overcast clouds
266,Burnie,AU,-41.0667,145.9167,60.94,99,100,8.41,overcast clouds
267,Purranque,CL,-40.9167,-73.1667,63.73,99,11,2.21,few clouds
268,Airai,TL,-8.9266,125.4092,73.42,63,97,2.59,overcast clouds
